Date,AAPL,GLD,JPM,MSFT,TLT
2019-01-02,37.50372314453125,121.33000183105469,81.25021362304688,94.39714813232422,100.17534637451172
2019-01-03,33.76808166503906,122.43000030517578,80.09548950195312,90.92446899414062,101.31526947021484
2019-01-04,35.20960998535156,121.44000244140625,83.04824829101562,95.15328216552734,100.1425552368164
2019-01-07,35.13124465942383,121.86000061035156,83.10598754882812,95.27465057373047,99.84732055664062
2019-01-08,35.80095672607422,121.52999877929688,82.94927215576172,95.96546936035156,99.58488464355469
2019-01-09,36.40891647338867,122.30999755859375,82.80904388427734,97.33773040771484,99.42906951904297
2019-01-10,36.52528381347656,121.58999633789062,82.80081939697266,96.71224975585938,98.78938293457031
2019-01-11,36.16667938232422,121.80000305175781,82.4049072265625,95.96546936035156,99.17484283447266
2019-01-14,35.62283706665039,122.08999633789062,83.25444793701172,95.26533508300781,98.8057861328125
2019-01-15,36.35191345214844,121.87999725341797,83.86480712890625,98.02853393554688,98.44495391845703
2019-01-16,36.796024322509766,122.2699966430664,84.54113006591797,98.37391662597656,98.54340362548828
2019-01-17,37.014503479003906,122.11000061035156,84.88751983642578,99.06473541259766,98.56798553466797
2019-01-18,37.24247741699219,121.0199966430664,86.26494598388672,100.54901123046875,98.05133056640625
2019-01-22,36.40653991699219,121.44999694824219,84.90404510498047,98.65396881103516,98.715576171875
2019-01-23,36.55377960205078,121.27999877929688,84.6895980834961,99.61550903320312,98.67461395263672
2019-01-24,36.26406478881836,121.08999633789062,84.73905181884766,99.1393814086914,99.32247161865234
2019-01-25,37.465728759765625,122.86000061035156,85.27518463134766,100.0448989868164,98.8468017578125
2019-01-28,37.11899185180664,123.29000091552734,85.67933654785156,98.09386444091797,98.74837493896484
2019-01-29,36.73427200317383,123.9800033569336,85.91851043701172,96.09615325927734,99.24864959716797
2019-01-30,39.24449920654297,124.69000244140625,86.11648559570312,99.30744171142578,99.17484283447266
2019-01-31,39.52710723876953,124.75,85.36591339111328,97.48707580566406,100.0277328491211
2019-02-01,39.54609680175781,124.5,85.67933654785156,95.94679260253906,99.42359161376953
2019-02-04,40.669403076171875,123.95999908447266,85.98451232910156,98.7099838256836,98.9797592163086
2019-02-05,41.365238189697266,124.27999877929688,85.60511016845703,100.09159851074219,99.43183135986328
2019-02-06,41.37950134277344,123.44000244140625,85.56387329101562,98.980712890625,99.48114776611328
2019-02-07,40.59579086303711,123.73999786376953,84.44215393066406,98.27125549316406,100.13870239257812
2019-02-08,40.643489837646484,124.20999908447266,83.60086059570312,98.64463806152344,100.566162109375
2019-02-11,40.40974807739258,123.5999984741211,83.2049789428711,98.25255584716797,100.17158508300781
2019-02-12,40.75796890258789,123.86000061035156,84.62360382080078,99.7835464477539,99.91680908203125
2019-02-13,40.588626861572266,123.37000274658203,85.02775573730469,99.70884704589844,99.5386962890625
2019-02-14,40.73649978637695,124.05999755859375,84.47514343261719,99.79289245605469,100.10580444335938
2019-02-15,40.6458740234375,124.80000305175781,87.0567398071289,101.02511596679688,100.26200103759766
2019-02-19,40.76749801635742,126.69999694824219,86.75155639648438,100.9784164428711,100.51679992675781
2019-02-20,41.02985382080078,126.4800033569336,87.17221069335938,100.45343017578125,100.22913360595703
2019-02-21,40.79851150512695,125.05000305175781,86.9907455444336,102.57221221923828,99.33318328857422
2019-02-22,41.25405502319336,125.5,86.60311889648438,104.03468322753906,99.92495727539062
2019-02-25,41.554569244384766,125.37000274658203,87.51038360595703,104.61597442626953,99.62908935546875
2019-02-26,41.57843017578125,125.58000183105469,86.84227752685547,105.33782196044922,100.12225341796875
2019-02-27,41.70722198486328,124.69000244140625,86.73506164550781,105.15970611572266,98.98796844482422
2019-02-28,41.2969856262207,123.98999786376953,86.07523345947266,105.02842712402344,98.65093994140625
2019-03-01,41.73106002807617,121.87999725341797,86.13298034667969,105.49720764160156,97.7391357421875
2019-03-04,41.94095230102539,121.55999755859375,85.93501281738281,105.24407196044922,98.50517272949219
2019-03-05,41.8646240234375,121.72000122070312,85.8690414428711,104.71907043457031,98.7110824584961
2019-03-06,41.62373733520508,121.61000061035156,85.5473861694336,104.76594543457031,99.07351684570312
2019-03-07,41.14196014404297,121.51000213623047,84.92877960205078,103.4909439086914,99.71598815917969
2019-03-08,41.23974609375,122.83999633789062,84.96175384521484,103.60345458984375,100.13603973388672
2019-03-11,42.66838455200195,122.23999786376953,86.06700134277344,105.7784423828125,99.83955383300781
2019-03-12,43.14778518676758,122.9800033569336,85.81130981445312,106.51905822753906,100.53970336914062
2019-03-13,43.33858871459961,123.83999633789062,86.09999084472656,107.34406280517578,100.35023498535156
2019-03-14,43.82036209106445,122.41000366210938,86.88353729248047,107.42845916748047,99.62541198730469
2019-03-15,44.3903923034668,122.97000122070312,87.88152313232422,108.66593933105469,100.28434753417969
2019-03-18,44.843544006347656,123.04000091552734,88.40939331054688,110.22219848632812,100.2267074584961
2019-03-19,44.48817825317383,123.37999725341797,88.08775329589844,110.29721069335938,100.0042953491211
2019-03-20,44.87693786621094,124.18000030517578,86.20721435546875,110.17533111572266,101.0503921508789
2019-03-21,46.52976989746094,123.68000030517578,84.84630584716797,112.70658874511719,101.27274322509766
2019-03-22,45.566226959228516,123.97000122070312,82.28118896484375,109.73471069335938,102.84597778320312
2019-03-25,45.01526641845703,124.91999816894531,81.59662628173828,110.30661010742188,103.01072692871094
2019-03-26,44.5501823425293,124.30000305175781,82.41315460205078,110.54098510742188,102.93663024902344
2019-03-27,44.95087432861328,123.6500015258789,82.13273620605469,109.47219848632812,103.88386535644531
2019-03-28,45.01049041748047,121.9000015258789,83.06474304199219,109.62220001220703,104.24630737304688
2019-03-29,45.303855895996094,122.01000213623047,83.49364471435547,110.569091796875,104.14742279052734
2019-04-01,45.611534118652344,121.52999877929688,86.30619049072266,111.58158874511719,102.66815948486328
2019-04-02,46.27458190917969,121.9800033569336,86.71856689453125,111.74097442626953,102.8580093383789
2019-04-03,46.591796875,121.80000305175781,86.89178466796875,112.47223663330078,101.96648406982422
2019-04-04,46.672874450683594,122.11000061035156,87.7311782836914,111.90036010742188,102.25538635253906
2019-04-05,46.98530578613281,121.9800033569336,87.52342224121094,112.39722442626953,102.38749694824219
2019-04-08,47.724674224853516,122.51000213623047,87.80597686767578,112.43473052978516,102.0242691040039
2019-04-09,47.58156967163086,123.1500015258789,87.15772247314453,111.82533264160156,102.34623718261719
2019-04-10,47.84869384765625,123.52999877929688,87.54834747314453,112.67847442626953,102.59386444091797
2019-04-11,47.45039367675781,121.94999694824219,88.28804016113281,112.80972290039062,101.99125671386719
2019-04-12,47.43130874633789,121.83000183105469,92.42692565917969,113.39093780517578,101.26477813720703
2019-04-15,47.517173767089844,121.5999984741211,91.3714370727539,113.48473358154297,101.52074432373047
2019-04-16,47.52194595336914,120.51000213623047,92.33551788330078,113.22222137451172,100.88507080078125
2019-04-17,48.447349548339844,120.27999877929688,94.99504852294922,114.15970611572266,100.92630004882812
2019-04-18,48.621456146240234,120.37000274658203,94.2968978881836,115.65971374511719,101.45469665527344
2019-04-22,48.78125,120.37000274658203,94.41326904296875,116.02533721923828,100.96760559082031
2019-04-23,49.484832763671875,120.12000274658203,94.52960968017578,117.6003646850586,101.18224334716797
